State,City,Date Local,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,Latitude,Longitude
Alabama,Birmingham,01/01/2015,13.916667,22.9,21,21,0.014167,0.023,9,21,1.483333,2.7,9,3.0,0.229412,0.3,7.0,3.0,32.6010112,-86.6807365
Alabama,Birmingham,02/03/2015,8.975,16.5,22,15,0.011556,0.016,10,15,0.7,1.4,23,1.0,0.216667,0.3,9.0,3.0,32.6010112,-86.6807365
Alabama,Birmingham,03/03/2015,14.1625,18.6,4,17,0.00775,0.017,21,16,0.877273,2.4,22,3.0,0.270833,0.3,7.0,3.0,32.6010112,-86.6807365
Alabama,Birmingham,04/03/2015,5.270833,11.2,18,10,0.018667,0.023,9,21,0.244444,1.3,12,1.0,0.0875,0.2,0.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,05/03/2015,3.225,4.5,3,4,0.034167,0.04,17,37,0.140909,0.4,21,0.0,0.129167,0.2,0.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,06/03/2015,5.9625,20.1,23,19,0.031458,0.042,10,39,1.133333,1.7,7,1.0,0.1625,0.2,7.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,09/03/2015,9.84,21.4,5,20,0.030583,0.039,8,36,0.6,1.5,13,1.0,0.2,0.2,0.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,10/03/2015,7.55,14.7,22,13,0.023333,0.029,0,27,0.191667,0.7,12,0.0,0.1875,0.2,0.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,11/03/2015,9.508333,21.6,19,20,0.022125,0.038,10,35,0.37,0.7,14,0.0,0.16,0.3,21.0,3.0,32.6010112,-86.6807365
Alabama,Birmingham,12/03/2015,7.695833,12.6,6,11,0.019375,0.028,23,26,1.052632,3.2,15,4.0,0.216667,0.3,0.0,3.0,32.6010112,-86.6807365
Alabama,Birmingham,13/03/2015,5.604167,9.1,0,8,0.028625,0.035,5,32,2.377273,41.5,7,57.0,0.133333,0.2,0.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,14/03/2015,6.766667,15.7,21,14,0.017125,0.026,10,24,0.318182,0.8,11,0.0,0.1625,0.2,9.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,15/03/2015,8.691667,26.8,22,25,0.021375,0.043,10,40,0.963636,6.0,8,9.0,0.216667,0.5,23.0,6.0,32.6010112,-86.6807365
Alabama,Birmingham,16/03/2015,17.233333,39.2,19,37,0.021292,0.046,10,43,5.416667,45.8,8,62.0,0.344444,0.6,1.0,7.0,32.6010112,-86.6807365
Alabama,Birmingham,17/03/2015,9.854167,24.4,0,23,0.033125,0.046,12,43,0.659091,1.5,7,1.0,0.345833,0.6,6.0,7.0,32.6010112,-86.6807365
Alabama,Birmingham,18/03/2015,7.329167,14.3,23,13,0.037,0.05,10,46,3.775,19.5,10,27.0,0.175,0.2,0.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,19/03/2015,11.708333,30.9,6,28,0.019042,0.031,9,29,0.627273,2.2,7,3.0,0.2375,0.3,6.0,3.0,32.6010112,-86.6807365
Alabama,Birmingham,20/03/2015,9.5375,15.1,2,14,0.014625,0.025,23,23,0.609091,2.2,9,3.0,0.208333,0.3,1.0,3.0,32.6010112,-86.6807365
Alabama,Birmingham,21/03/2015,5.2,13.0,21,12,0.026875,0.034,8,31,3.154545,19.1,11,27.0,0.15,0.2,0.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,22/03/2015,7.308333,16.1,5,15,0.034458,0.039,11,36,0.704545,1.9,3,1.0,0.133333,0.2,0.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,23/03/2015,9.695455,28.6,20,26,0.025875,0.045,9,42,1.175,4.2,8,6.0,0.166667,0.4,23.0,5.0,32.6010112,-86.6807365
Alabama,Birmingham,24/03/2015,10.070833,21.5,7,20,0.024292,0.036,9,33,2.277273,6.6,11,9.0,0.328571,0.6,5.0,7.0,32.6010112,-86.6807365
Alabama,Birmingham,25/03/2015,7.122727,16.9,20,15,0.03325,0.043,10,40,0.522727,1.0,7,1.0,0.2,0.2,0.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,26/03/2015,5.7375,14.8,6,13,0.031917,0.042,8,39,0.322727,0.9,3,0.0,0.195833,0.2,0.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,27/03/2015,3.0125,9.0,21,8,0.032792,0.04,11,37,0.477273,0.9,3,0.0,0.1125,0.2,0.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,28/03/2015,3.295833,8.6,23,8,0.033458,0.044,9,41,0.540909,1.7,3,1.0,0.1375,0.2,0.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,29/03/2015,8.391667,30.3,3,28,0.038708,0.046,10,43,2.477273,13.6,10,19.0,0.170833,0.2,0.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,30/03/2015,9.266667,30.8,22,28,0.027083,0.045,9,42,0.755,3.8,22,4.0,0.222222,0.4,23.0,5.0,32.6010112,-86.6807365
Alabama,Birmingham,31/03/2015,16.354167,33.4,7,31,0.023167,0.037,9,34,2.15,7.2,6,10.0,0.4375,0.8,7.0,9.0,32.6010112,-86.6807365
Alabama,Birmingham,01/04/2015,13.929167,38.2,20,36,0.03075,0.055,10,51,0.294444,2.1,11,3.0,0.241667,0.4,23.0,5.0,32.6010112,-86.6807365
Alabama,Birmingham,02/04/2015,11.816667,28.7,0,26,0.028083,0.035,20,32,0.254545,3.3,19,4.0,0.241667,0.4,0.0,5.0,32.6010112,-86.6807365
Alabama,Birmingham,03/04/2015,4.7625,12.1,20,11,0.035208,0.041,10,38,0.171429,0.8,19,0.0,0.1625,0.2,0.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,04/04/2015,2.9,15.1,23,14,0.030708,0.041,10,38,0.204545,0.7,12,0.0,0.129167,0.2,0.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,05/04/2015,7.5875,22.9,1,21,0.037833,0.048,9,44,0.840909,5.6,3,7.0,0.170833,0.2,0.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,06/04/2015,10.718182,23.9,6,22,0.022667,0.028,0,26,0.38,1.2,7,1.0,0.2,0.2,0.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,07/04/2015,9.575,19.3,6,18,0.016,0.032,8,30,0.240909,0.6,9,0.0,0.226667,0.4,22.0,5.0,32.6010112,-86.6807365
Alabama,Birmingham,08/04/2015,10.7625,21.0,23,20,0.018292,0.034,9,31,0.690909,3.2,9,4.0,0.320833,0.5,1.0,6.0,32.6010112,-86.6807365
Alabama,Birmingham,09/04/2015,5.8375,20.5,0,19,0.027458,0.033,10,31,0.240909,1.0,6,1.0,0.2375,0.4,0.0,5.0,32.6010112,-86.6807365
Alabama,Birmingham,10/04/2015,4.125,9.4,18,8,0.022833,0.03,8,28,0.1,0.7,21,0.0,0.133333,0.2,0.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,11/04/2015,7.7375,29.6,22,27,0.029083,0.05,9,46,3.077273,17.3,7,24.0,0.1875,0.3,22.0,3.0,32.6010112,-86.6807365
Alabama,Birmingham,12/04/2015,9.733333,23.2,1,22,0.0255,0.039,8,36,3.177273,6.7,19,9.0,0.283333,0.4,1.0,5.0,32.6010112,-86.6807365
Alabama,Birmingham,13/04/2015,8.6625,17.9,6,16,0.016458,0.022,21,20,0.3,2.5,3,3.0,0.161111,0.2,11.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,14/04/2015,7.375,17.4,22,16,0.023833,0.034,8,31,0.218182,0.9,18,0.0,0.170833,0.2,7.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,15/04/2015,9.2375,23.4,20,22,0.029042,0.046,11,43,0.484211,2.7,10,3.0,0.204167,0.3,7.0,3.0,32.6010112,-86.6807365
Alabama,Birmingham,16/04/2015,7.008333,14.4,19,13,0.011833,0.017,0,16,0.577273,5.0,3,7.0,0.2,0.2,0.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,17/04/2015,7.3125,13.4,6,12,0.010708,0.014,19,13,0.036364,0.2,3,0.0,0.2,0.2,0.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,18/04/2015,6.495833,15.1,18,14,0.016458,0.024,23,22,0.390909,2.4,14,3.0,0.2,0.2,0.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,19/04/2015,5.570833,23.1,19,22,0.031167,0.037,10,34,0.004545,0.1,11,0.0,0.1375,0.2,0.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,20/04/2015,5.52381,19.9,5,18,0.036417,0.052,9,48,0.1,1.0,7,1.0,0.144444,0.2,0.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,21/04/2015,13.05,42.5,20,40,0.024042,0.048,10,44,0.010526,0.3,3,0.0,0.1875,0.4,23.0,5.0,32.6010112,-86.6807365
Alabama,Birmingham,22/04/2015,11.583333,31.2,6,29,0.0325,0.05,11,46,0.345455,1.2,5,1.0,0.279167,0.4,0.0,5.0,32.6010112,-86.6807365
Alabama,Birmingham,23/04/2015,10.175,32.3,21,30,0.023625,0.037,10,34,0.568182,5.0,8,7.0,0.195833,0.3,22.0,3.0,32.6010112,-86.6807365
Alabama,Birmingham,24/04/2015,12.008333,26.7,18,25,0.038667,0.053,9,49,1.640909,7.9,3,10.0,0.229167,0.3,0.0,3.0,32.6010112,-86.6807365
Alabama,Birmingham,25/04/2015,7.295833,18.3,20,17,0.0215,0.031,0,29,-0.009091,0.7,0,0.0,0.216667,0.3,20.0,3.0,32.6010112,-86.6807365
Alabama,Birmingham,26/04/2015,3.891667,12.2,0,11,0.031417,0.043,10,40,-0.086364,0.2,8,0.0,0.1375,0.3,0.0,3.0,32.6010112,-86.6807365
Alabama,Birmingham,27/04/2015,4.6,13.7,18,12,0.034833,0.047,9,44,1.1,9.1,8,13.0,0.15,0.2,15.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,28/04/2015,6.066667,16.0,6,15,0.035,0.046,7,43,0.604545,7.2,6,10.0,0.2,0.2,0.0,2.0,32.6010112,-86.6807365
Alabama,Birmingham,29/04/2015,8.741667,33.2,20,31,0.02725,0.048,10,44,0.465,6.4,9,9.0,0.225,0.4,22.0,5.0,32.6010112,-86.6807365
Alabama,Birmingham,30/04/2015,8.590476,22.1,6,21,0.040708,0.057,10,58,0.281818,1.1,11,1.0,0.245833,0.4,0.0,5.0,32.6010112,-86.6807365
Alabama,Birmingham,01/05/2015,7.6375,32.8,23,30,0.032792,0.055,10,51,0.285714,1.5,9,1.0,0.179167,0.3,23.0,3.0,32.6010112,-86.6807365
